Ei + Alpha + Dipole + Pi,Ei + Alpha + Dipole,Alpha + Dipole,Alpha + Dipole + Pi
poly,0.09906304331343134,0.15194680892804976,0.19331775294738499,0.11647170934392817
svr,0.15343216678705449,0.11792301716431228,0.2676961257525433,0.13107195012726694
xgb,0.11220068858849427,0.16991566596054403,0.18504639755371055,0.18322214149149346
nn,0.09883709956269879,0.18116858649100936,0.21300895504101397,0.14329181436258526
stacked,0.09208773414156551,0.12136791710513677,0.1833959026825377,0.12494133998254213
