Ei + Alpha + Dipole + Pi,Ei + Alpha + Dipole,Alpha + Dipole,Alpha + Dipole + Pi
poly,0.18735952134460535,0.2224895302115296,0.28016447889554824,0.2179904417382612
svr,0.16613537564458508,0.10035273109911565,0.23803404101005618,0.2394848175101451
xgb,0.17781127793357002,0.20937954267300435,0.13876056647502316,0.1047967447771945
nn,0.12751666805584105,0.19925746975732075,0.2434827474950279,0.21220624631178914
stacked,0.1312973765389063,0.14823830308199432,0.20896705784554653,0.1756026481203601
