All,Ei + Alpha,Pi + Ei,Pi + Alpha
svr,0.11153869289464664,0.10521843008401102,0.208631383230435,0.05719036299061986
poly,0.10737146730420064,0.07436187195459537,0.23085919135156385,0.08599044551685153
xgb,0.21512316671115636,0.19187766259515873,0.07870726918740119,0.0630623816010621
nn,0.046404298132636024,0.10947828301723192,0.11483638125578374,0.07024195319589277
stacked,0.04408385949609505,0.08416964293663885,0.1396721074922913,0.031879465564449094
