All,Ei + Alpha, Pi + Alpha,Pi + Ei
poly,0.8985617095933216,0.8985617095933216,0.7161249489674736,0.9687403254908622
svr,0.7962719820071591,0.7962719820071591,1.5072328713646634,0.30014439443679886
xgb,0.09418016771597391,0.3555199655166944,0.6567904095671265,0.04389748615200215
nn,0.5259963326227141,0.5259963326227141,0.7652317556633419,0.47390879074760317
stacked,0.46536651028123677,0.5133867695509067,0.8043873115081803,0.36929195265654335
