All,Ei + Alpha, Pi + Alpha,Pi + Ei
svr,0.19476939219489484,0.5525120047870772,0.7602051178282883,0.06882288316214562
poly,0.19263670881340217,0.44382008688648966,0.6945720378126081,0.19750017172414275
xgb,0.2203852356034916,0.3867049964565031,0.6567904095671265,0.06423052795990239
nn,0.04429730978451266,0.4744443266708801,0.6450668071689935,0.18010939635560985
stacked,0.14087003505964987,0.4059940414916502,0.6315292452409451,0.10792929443049262
