All,Ei + Alpha, Pi + Alpha,Pi + Ei
poly,0.9077821177250407,0.9077821177250407,0.01947290634521948,0.4996393781391821
svr,0.14501577841061464,0.14501577841061464,0.3308540553880483,0.05269082669444697
xgb,0.06934045277897713,0.1488270979051837,0.42057851976963256,0.06901760977548241
nn,0.08256647633767039,0.08256647633767039,0.04330585578077128,0.05776591345931204
stacked,0.1538681064414717,0.12808880526269376,0.14608016220987882,0.12298544539168708
