All,Ei + Alpha, Pi + Alpha,Pi + Ei
poly,0.6877650489173768,0.6877650489173768,0.021271926986633202,0.5715831284873696
svr,0.8152518174882049,0.8152518174882049,1.2434399981063806,0.09147428772651917
xgb,0.14296544468281486,0.15193054396918926,0.07870726918740119,0.03240818417857172
nn,0.20768824731569685,0.20768824731569685,0.0758629068802946,0.17184719552507258
stacked,0.19121268127764818,0.19435951738205784,0.3061580495677064,0.13224051368043585
