All,Ei + Alpha + Dipole,Alpha + Dipole,Alpha + Dipole + Pi
poly,0.13830164929128805,0.13830164929128805,0.19340842091322313,0.19340842091322313
svr,0.08572974529290156,0.08572974529290156,0.08636655645112339,0.08636655645112339
xgb,0.07182800879635151,0.08143601891438097,0.06982989265330562,0.09817656214858442
nn,0.039956765122566906,0.039956765122566906,0.030608081195369678,0.030608081195369678
stacked,0.046615816064410016,0.04665590531376381,0.044097912174826386,0.04434095657601435
