All,Ei + Alpha + Dipole,Alpha + Dipole,Alpha + Dipole + Pi
poly,0.5292447166173624,0.5292447166173624,0.5109683792415285,0.5109683792415285
svr,0.1350316814817357,0.1350316814817357,0.28526034996970157,0.28526034996970157
xgb,0.17781127793357002,0.20937954267300435,0.13876056647502316,0.1047967447771945
nn,0.20699904882432238,0.20699904882432238,0.24290085766533315,0.24290085766533315
stacked,0.22008544837166824,0.223808727468579,0.2574327102902506,0.25326524288952185
