All,Ei + Alpha + Dipole,Alpha + Dipole,Alpha + Dipole + Pi
poly,0.01718441676126883,0.034330334518811324,0.0200475594714434,0.022208715373132182
svr,0.06122971649608814,0.08092109565024527,0.14761812126064439,0.04367582687243163
xgb,0.08513981164395842,0.06685390283489837,0.0848465483275004,0.11677674535688456
nn,0.02436820156014958,0.050035132988378354,0.05152913447804878,0.022892384111334752
stacked,0.02393286066789,0.03755669313495991,0.044906055476346816,0.032169881186580936
