All,Ei + Alpha + Dipole,Alpha + Dipole,Alpha + Dipole + Pi
poly,0.4220053432846377,0.4220053432846377,0.5190896273274509,0.5190896273274509
svr,0.11897359507502177,0.11897359507502177,0.24657155195511155,0.24657155195511155
xgb,0.09168906397088478,0.12078904516134248,0.14191256992054155,0.1063823822900879
nn,0.21659383132253943,0.21659383132253943,0.28644862876637245,0.28644862876637245
stacked,0.1843810986493007,0.18920530725253912,0.26598172576737544,0.258868057008379
