All,Ei + Alpha + Dipole,Alpha + Dipole,Alpha + Dipole + Pi
poly,0.27064885094844204,0.31463619198270015,0.3628965632072689,0.27831692745310355
svr,0.21174748343020444,0.3190274817580561,0.3248297457312733,0.18603446302027452
xgb,0.08068615561349571,0.2012730311002902,0.13551376841565815,0.051096923993424616
nn,0.2706906475395138,0.3600412127017616,0.38747911134032614,0.2823394333733302
stacked,0.18706154558661045,0.26563001208757575,0.2768219864989929,0.18491818932760326
