All,Ei + Alpha + Dipole,Alpha + Dipole,Alpha + Dipole + Pi
poly,0.13388658430780945,0.31323167618370135,,
svr,0.11420843047782447,0.3214152962879503,,
xgb,0.019128789267939744,0.18315415578802016,,
nn,0.16638714704518315,0.30877117154064304,,
stacked,0.09289211835132057,0.2402924163348731,,
