Ei + Alpha + Dipole + Pi,Ei + Alpha + Dipole,Alpha + Dipole,Alpha + Dipole + Pi
poly,0.03165074684544775,0.05361171311236585,0.04191089420933292,0.03102138853863742
svr,0.06815827749829907,0.07482747258787908,0.03791174211473592,0.0182368072549874
xgb,0.04943855402087644,0.05602574321661583,0.07287242664548577,0.0541199046437866
nn,0.030634606466715567,0.04207375153810632,0.03472803653871716,0.017893957564870232
stacked,0.029669902946754225,0.03153666450587251,0.02811191327788541,0.018482990484689765
