All,Ei + Alpha + Dipole,Alpha + Dipole,Alpha + Dipole + Pi
poly,0.1679602095284237,0.17951778889848813,0.27529460415525253,0.23747665909214294
svr,0.1884165953119769,0.14551014257781184,0.22457864399724697,0.2562946714814213
xgb,0.09168906397088478,0.12078904516134248,0.14191256992054155,0.1063823822900879
nn,0.1252026863885695,0.237032856751278,0.2841153978127692,0.22058012356583717
stacked,0.12280622281664806,0.14867711547224824,0.21234193961877196,0.18327405214449258
