All,Ei + Alpha + Dipole,Alpha + Dipole,Alpha + Dipole + Pi
poly,0.03803038363239423,0.05726944536027773,0.03173146441709078,0.04336784907496451
svr,0.09293088597670504,0.03592085248608139,0.06542349094667829,0.07933112426161427
xgb,0.07182800879635151,0.08143601891438097,0.06982989265330562,0.09817656214858442
nn,0.04300067283946548,0.040617288082853656,0.02515964247014103,0.02737644500780729
stacked,0.027385371088264818,0.029147442791613666,0.018096456000627974,0.04252063924899467
