All,Ei + Alpha,Pi + Ei,Pi + Alpha
svr,0.17198238988315934,0.4278045267968588,0.7677489970705025,0.09709039929108595
poly,0.10706070974104913,0.3530247819078841,0.8271167836133223,0.11626653175029944
xgb,0.09654891958234811,0.21225514467978188,1.192041680148042,0.10674560881418634
nn,0.12363259981931307,0.39125225103293565,0.7082188099927272,0.14535325340411692
stacked,0.10210280069820499,0.30845402457687543,0.7906872327084421,0.10052910551784675
