Ei + Alpha + Pi,Ei + Alpha,Pi + Ei,Pi + Alpha
svr,0.075063326988042,0.15967641497747184,0.1763691642127997,0.07462586889202528
poly,0.03347686235349694,0.0618617046450314,0.26238473672641516,0.02413930346174041
xgb,0.06934045277897713,0.1488270979051837,0.42057851976963256,0.06901760977548241
nn,0.07421940631858025,0.1055547842052367,0.14680525549859885,0.029670882788044004
stacked,0.029013060608629505,0.08322758690962853,0.17018230793625644,0.020571018991908722
