Ei + Alpha + Pi,Ei + Alpha,Pi + Ei,Pi + Alpha
svr,0.1830407313626114,0.48564474281796854,0.7602051178282883,0.0788857588208747
poly,0.14567622923799364,0.4017094220147094,0.6945720378126081,0.09774109000795142
xgb,0.09418016771597391,0.3555199655166944,0.6567904095671265,0.04389748615200215
nn,0.12242057633061638,0.4748229358234912,0.6450668071689935,0.10949903452866372
stacked,0.11413297031078358,0.37352156992632135,0.6315292452409451,0.0675165391310584
